file	dependency	direct_verdict	petta_n	pleatta_n	witness	witness_verdict	semantic_status
and_or.metta		AGREE	1	1			DIRECT-COVERED
atomops.metta		AGREE	9	9			DIRECT-COVERED
booleansolver.metta		AGREE	1	1			DIRECT-COVERED
builin_types.metta		AGREE	37	37			DIRECT-COVERED
callquoteevalreduce.metta		AGREE	4	4			DIRECT-COVERED
callquoteevalreduce2.metta		AGREE	4	4			DIRECT-COVERED
case.metta		AGREE	1	1			DIRECT-COVERED
case2.metta		AGREE	1	1			DIRECT-COVERED
caseconstrain.metta		AGREE	1	1			DIRECT-COVERED
caseempty.metta		AGREE	2	2			DIRECT-COVERED
casenew.metta		AGREE	1	1			DIRECT-COVERED
chain.metta		AGREE	2	2			DIRECT-COVERED
collapse.metta		AGREE	1	1			DIRECT-COVERED
comments.metta		AGREE	1	1			DIRECT-COVERED
constanthead.metta		AGREE	1	1			DIRECT-COVERED
curry.metta		AGREE	6	6			DIRECT-COVERED
cut.metta		AGREE	2	2			DIRECT-COVERED
empty.metta		AGREE	1	1			DIRECT-COVERED
eval.metta		AGREE	2	2			DIRECT-COVERED
factorial.metta		AGREE	1	1			DIRECT-COVERED
fib.metta		LEATTA-TIMEOUT	1		fib-small	AGREE	WITNESS-COVERED
fibadd.metta		LEATTA-TIMEOUT	2		fibadd-small	AGREE	WITNESS-COVERED
fibsmart.metta		AGREE	1	1			DIRECT-COVERED
fibsmartimport.metta		AGREE	2	2			DIRECT-COVERED
foldall.metta		AGREE	10	10			DIRECT-COVERED
foldallmatch.metta		AGREE	2	2			DIRECT-COVERED
foldallspacecount.metta		AGREE	1	1			DIRECT-COVERED
forall.metta		AGREE	12	12			DIRECT-COVERED
functionhead.metta		AGREE	2	2			DIRECT-COVERED
functionhead2.metta		AGREE	1	1			DIRECT-COVERED
functionhead3.metta		AGREE	6	6			DIRECT-COVERED
functionremoval.metta		AGREE	8	8			DIRECT-COVERED
functionremovalspec.metta		AGREE	5	5			DIRECT-COVERED
functiontypes.metta		AGREE	4	4			DIRECT-COVERED
git_import.metta	git-network-plugin	EXTERNAL-UNAVAILABLE					EXTERNAL-UNAVAILABLE
git_import2.metta	git-network-plugin	EXTERNAL-UNAVAILABLE					EXTERNAL-UNAVAILABLE
greedy_chess.metta	python-host	EXTERNAL-UNAVAILABLE					EXTERNAL-UNAVAILABLE
