# pinned_petta_revision=6b7f52f064bdbc82fabd0a0998404121fb01d52e
# compiler_sha256=e92426c3ccad972b9f0608e947d669aad3bbc87a7e24310d17c124b0f6b58d50
# class: X=exact-translation S=semantic-shortcut L=library-defined H=host-boundary P=pleatta-only M=missing
# proof: SC=sound-complete BC=behavioral-sound-complete SH=shape-only EQ=implementation-equation N=none
# status: PASS=adequate-for-stated-model FAIL=known-mismatch GAP=open-proof-or-model BOUNDARY=explicit-trusted-boundary
# native_source: T=src/translator.pl M=src/metta.pl F=src/filereader.pl S=src/spaces.pl HE=lib/lib_he.metta LS=lib/lib_spaces.metta LP=lib/lib_patrick.metta LT=lib/lib_tabling.metta
id	native_source	class	reference	proof	status	finding
EX.fuel0	-	P	-	N	GAP	explicit-fuel-totalization
EX.variable	T96	X	TranslatesExpr.literal	SC	PASS	covered
EX.symbol	T96	X	TranslatesExpr.literal	SC	PASS	boolean-representation-related
EX.ground	T96	X	TranslatesExpr.literal	SC	PASS	int-float-string-bool-only
EX.empty_list	T96	X	TranslatesExpr.literal	SC	PASS	covered
EX.internal_chain	-	P	-	N	GAP	internal-encoding-not-source
EX.symbol_head	T97-333	X	-	N	GAP	dispatcher-unproved
EX.variable_head	T332-333	S	-	N	GAP	callDyn-models-reduce
EX.compound_head	T97-99,329-333	S	-	N	GAP	static-data-or-callDyn-shortcut
PAT.fuel0	-	P	-	N	GAP	totalization
PAT.atomic	T2	X	ConstrainsAtomicPattern	SC	PASS	atomic-source-fragment; host-external-excluded
PAT.internal_chain	-	P	-	N	GAP	internal-encoding
PAT.cons	T3-8	X	-	N	GAP	no-pattern-reference
PAT.known_head	T9-12	X	-	N	GAP	native-fun-premise-unproved
PAT.special_only	T2-14	S	-	N	FAIL	unregistered-special-heads-compiled
PAT.data_tree	T13-14	X	-	N	GAP	no-pattern-reference
HOOK.registered	T101-110	X	-	N	GAP	builtin-shadowing-differential-pass; typed-staging-proof-open
CASE.nil	T399-406	S	-	N	GAP	explicit-failure-goal
CASE.empty_arm	T163-176,T399-406	S	-	N	GAP	default-handling-unproved
CASE.normal_arm	T399-406	S	-	N	GAP	softcut-IR-unproved
CASE.malformed	T399-406	X	-	N	GAP	explicit-error-vs-native-failure
ARGS.nil	T362	X	-	N	GAP	no-reference
ARGS.expression_typed	T363-370	X	-	N	GAP	syntactic-staging-unproved
ARGS.evaluated	T363-370	X	-	N	GAP	ordered-translation-unproved
LIST.nil	T409	X	-	EQ	GAP	implementation-equation-only
LIST.cons	T410-412	X	TranslatesSeq-partial	EQ	GAP	first-last-only
PATLIST.nil	T20-22	X	ConstrainsAtomicPatternSeq	SC	PASS	atomic-fragment-empty-traversal
PATLIST.cons	T20-22	X	ConstrainsAtomicPatternSeq	SC	PASS	atomic-members-left-to-right; nested-pattern-proof-open
APP.quote	T297-299	X	TranslatesExpr.quote	SC	PASS	covered
APP.Predicate	M275	H	-	N	BOUNDARY	typed-wrapper
