# SPDX-License-Identifier: Apache-2.0
# pinned_petta_revision=6b7f52f064bdbc82fabd0a0998404121fb01d52e
# Exact expected divergences discovered while relating the independent local
# Prolog semantics to the executable PLeaTTa machine. Values are ordered and
# normalized by the same parser used for the corpus differential.
# Every bounded divergence must retain a same-budget successful control, so a
# future budget reduction fails the characterization instead of weakening it.
case	id	fixture	driver	transcript	pleatta_budget	mode	native_kind	native_expect	pleatta_kind	pleatta_expect	note
boolean-source-alias-normalization	BISIM.canonical_runtime_reading	diffbench/host-fixtures/boolean-source-alias-normalization.metta	core	-	-	characterization	ok	["lower-spelling","upper-spelling","lower-spelling","upper-spelling"]	ok	["lower-spelling","upper-spelling","lower-spelling","upper-spelling"]	pinned PeTTa normalizes source True and true to the same Prolog atom before local clause matching; PLeaTTa preserves the same ordered duplicate-sensitive behavior
findall-cross-solution-separation	BISIM.findall_copy	diffbench/host-fixtures/findall-fresh-copy.metta	core	-	-	characterization	ok	["($v1 $v2)"]	ok	["($v1 $v2)"]	native and PLeaTTa independently copy each residual template; the two solution variables remain distinct
findall-intra-solution-sharing	BISIM.findall_copy	diffbench/host-fixtures/findall-intra-solution-sharing.metta	core	-	-	characterization	ok	["((pair $v1 $v1))"]	ok	["((pair $v1 $v1))"]	copying must preserve repeated-variable sharing within each individual solution
nan-repeated-variable	RESOLVER.float_identity	diffbench/host-fixtures/prolog-nan-clause-head.metta	host-replay	diffbench/host-fixtures/prolog-nan-clause-head.replay.json	-	characterization	ok	["matched"]	ok	["matched"]	pinned PeTTa and the exact executable Prolog resolver both retain and unify a repeated clause variable receiving the same typed-host NaN
nil-list-encoding-collision	BISIM.nil_value_encoding	diffbench/host-fixtures/nil-list-encoding-collision.metta	core	-	-	characterization	ok	["empty-list","source-atom"]	ok	["empty-list","source-atom"]	pinned PeTTa distinguishes the source atom #nil from the empty list (); PLeaTTa preserves their exact ordered results and multiplicity with a source-unforgeable internal nil sentinel
partial-list-encoding-collision	BISIM.partial_value_encoding	diffbench/host-fixtures/partial-list-encoding-collision.metta	core	-	-	characterization	ok	[]	ok	[]	pinned partial(Fun,Args) is a compound distinct from the ordinary source list [partial,Fun,Args]; PLeaTTa preserves that distinction with a tagged non-list compound erased only at user-visible decoding
partial-car-is-not-list	BISIM.partial_value_encoding	diffbench/host-fixtures/partial-car-is-not-list.metta	core	-	-	characterization	ok	["()"]	ok	["()"]	car-atom applied to a partial value observes no compound child and yields PeTTa's empty-list fallback rather than exposing the private representation
partial-cdr-is-not-list	BISIM.partial_value_encoding	diffbench/host-fixtures/partial-cdr-is-not-list.metta	core	-	-	characterization	ok	["()"]	ok	["()"]	cdr-atom applied to a partial value yields PeTTa's empty-list fallback rather than exposing the private representation
partial-size-is-not-list	BISIM.partial_value_encoding	diffbench/host-fixtures/partial-is-not-list.metta	core	-	-	characterization	error	runner_error_2	error	runner_error_2	size-atom rejects a partial value as a non-list compound on both engines
retract-pattern-binding	WORLD.retract_pattern_binding	diffbench/host-fixtures/retract-predicate-pattern-binding.metta	core	-	-	characterization	ok	["true","true","(removed first)","(remaining second)"]	ok	["true","true","(removed first)","(remaining second)"]	pinned PeTTa and the rebuilt executable both bind the variable clause pattern, remove and commit to the first unifying occurrence, preserve the later occurrence in source order, and expose the selected binding
predicate-registration-clause-survival	WORLD.predicate_registration	diffbench/host-fixtures/predicate-registration-clause-survival.metta	core	-	-	characterization	ok	["true","true","source-result","raw-result","true","raw-result"]	ok	["true","true","source-result","raw-result","true","raw-result"]	raw Prolog assertion alone does not register a MeTTa head, but after add-atom registers the same name both clause kinds share one ordered predicate and the surviving raw clause prevents fun/1 unregistration
retract-missing-false	WORLD.retract_missing_false	diffbench/host-fixtures/retract-predicate-missing-false.metta	core	-	-	characterization	ok	["false"]	ok	["false"]	a decoded missing retract pattern takes the explicit false fallback on both engines, preserves the world, and keeps the continuation live
catch-streaming-budget-control	BISIM.catch_macro_prefix	diffbench/host-fixtures/catch-streaming-budget-control.metta	core	-	10000	characterization	ok	["first"]	ok	["first"]	the same answer-then-recursion predicate returns its first answer through once/1 on both engines at the exact semantic budget used by the catch divergence witness, isolating the blocking catch macro rather than insufficient fuel
catch-answer-before-divergence	BISIM.catch_macro_prefix	diffbench/host-fixtures/catch-streaming-answer-before-divergence.metta	core	-	10000	characterization	ok	["first"]	ok	["first"]	pinned and PLeaTTa streaming catch/3 both expose the first protected-goal answer to outer once/1 before the later recursive alternative diverges; this exact-budget guard rejects restoration of the former blocking catch macro or loss of the protected answer at the typed exit boundary
catch-cut-opacity	CONTROL.catch_cut_opacity	diffbench/host-fixtures/catch-cut-opacity.metta	core	-	-	characterization	ok	["selected","outer"]	ok	["selected","outer"]	pinned PeTTa and PLeaTTa keep a protected-goal cut local to catch/3: the explicit cut barrier is consumed while the persistent catch delimiter survives to deliver selected, and the caller's outer alternative remains available afterward
answer-before-divergence-budget-control	BISIM.case_empty_streaming	diffbench/host-fixtures/answer-before-divergence-budget-control.metta	core	-	10000	characterization	ok	["first"]	ok	["first"]	the answer-then-recursion predicate returns its first answer through once/1 on both engines at the exact semantic budget used by the repaired case-with-Empty streaming witness
case-empty-answer-before-divergence	BISIM.softcut_macro_prefix	diffbench/host-fixtures/case-empty-answer-before-divergence.metta	core	-	10000	characterization	ok	["selected"]	ok	["selected"]	pinned and PLeaTTa expose the positive case-with-Empty answer before a later recursive scrutinee alternative diverges; this is the executable guard for the historical BISIM.softcut_macro_prefix FAIL and rejects restoration of the former blocking single-softcut lowering
case-arm-order-multiplicity	BISIM.case_empty_streaming	diffbench/host-fixtures/case-arm-order-multiplicity.metta	core	-	-	characterization	ok	["first-selected","first-selected","second-selected"]	ok	["first-selected","first-selected","second-selected"]	the positive case lane preserves exact source order and duplicate multiplicity across distinct ordinary committed arms
case-arm-failure-resumes-scrutinee	BISIM.case_empty_streaming	diffbench/host-fixtures/case-arm-failure-resumes-scrutinee.metta	core	-	-	characterization	ok	["second-selected"]	ok	["second-selected"]	failure of the first selected arm resumes the positive scrutinee search, while the Empty fallback remains suppressed because the guard has a solution
case-empty-fallback-on-failure	BISIM.case_empty_streaming	diffbench/host-fixtures/case-empty-fallback-on-failure.metta	core	-	-	characterization	ok	["fallback"]	ok	["fallback"]	a failing scrutinee selects the source Empty fallback through re-executed negation-as-failure
case-empty-selected-failure-no-fallback	BISIM.case_empty_streaming	diffbench/host-fixtures/case-empty-selected-failure-no-fallback.metta	core	-	-	characterization	ok	[]	ok	[]	a successful guard suppresses the Empty fallback even when its selected arm later fails
case-empty-negation-discards-bindings	BISIM.case_empty_streaming	diffbench/host-fixtures/case-empty-negation-discards-bindings.metta	core	-	-	characterization	ok	["clean"]	ok	["clean"]	both failed positive execution and the negated guard discard their local binding before the Empty arm runs
case-guard-effect-control	BISIM.case_empty_streaming	diffbench/host-fixtures/case-guard-effect-control.metta	core	-	-	characterization	ok	["true","(seen)"]	ok	["true","(seen)"]	a single persistent guard effect yields one visible occurrence on both engines and controls the re-execution witness
case-empty-guard-reexecution	BISIM.case_empty_streaming	diffbench/host-fixtures/case-empty-guard-reexecution.metta	core	-	-	characterization	ok	["fallback","(seen seen)"]	ok	["fallback","(seen seen)"]	pinned case-with-Empty re-executes a failed effectful guard under negation; both persistent effects survive in exact order before fallback
cut-caller-control	BISIM.root_cut_scope	diffbench/host-fixtures/cut-caller-control.metta	core	-	-	characterization	ok	["selected"]	ok	["selected"]	a root-query cut prunes the caller's later superpose alternative on both engines
case-no-default-guard-cut-prunes-caller	BISIM.root_cut_scope	diffbench/host-fixtures/case-no-default-guard-cut-prunes-caller.metta	core	-	-	characterization	ok	["selected"]	ok	["selected"]	a guard-side cut in case without Empty remains at caller scope and prunes the later alternative
case-empty-guard-cut-prunes-caller	BISIM.root_cut_scope	diffbench/host-fixtures/case-empty-guard-cut-prunes-caller.metta	core	-	-	characterization	ok	["selected"]	ok	["selected"]	the positive case-with-Empty guard is caller-cut-transparent rather than hidden by the negation fallback's private barrier
case-selected-cut-prunes-caller	BISIM.root_cut_scope	diffbench/host-fixtures/case-selected-cut-prunes-caller.metta	core	-	-	characterization	ok	["selected"]	ok	["selected"]	a selected case arm cut prunes both retained positive-lane answers and the caller's later alternative
cut-nested-clause-does-not-prune-caller	BISIM.root_cut_scope	diffbench/host-fixtures/cut-nested-clause-does-not-prune-caller.metta	core	-	-	characterization	ok	["nested-selected","outer"]	ok	["nested-selected","outer"]	a cut in a nested predicate commits only that activation and leaves the root caller's later alternative reachable
softcut-typecheck-order-multiplicity	CONTROL.softcut	diffbench/host-fixtures/softcut-typecheck-order-multiplicity.metta	core	-	-	characterization	ok	["typed-value","typed-value","typed-value","typed-value"]	ok	["typed-value","typed-value","typed-value","typed-value"]	the genuine translator.pl T356/T368 star-if sites stream every duplicate direct type proof instead of committing to the first proof as ordinary if-then would
