builin_types.metta	INERT-FORM:->	P-only[10]: %Undefined% ;; %Undefined% ;; %Undefined%	L-only[11]: true ;; (-> Number Number Number) ;; (-> Number Number Number)
callquoteevalreduce.metta	VALUE	P-only[4]: (before-call-errors-ofc (quote-before (fib 5)) (eval-before (fib 5)) (reduce-before (fib 5))) ;; ((within (fib 5)) (call-within 5) (quote-within (fib 5)) (eval-	L-only[3]: (before-call-errors-ofc (quote-before (fib 5)) (eval-before (eval (fib 5))) (reduce-before (fib 5))) ;; ((call-before (call (fib 5))) (quote-before (fib 5)) (ev
callquoteevalreduce2.metta	VALUE	P-only[2]: (fib-call 5) ;; (fib-eval 5)	L-only[2]: (fib-call (call 5)) ;; (fib-eval (if (< (myfunc) 2) (myfunc) (+ (fib (- (myfunc) 1)) (fib (- (myfunc) 2)))))
curry.metta	VALUE	P-only[6]: "(partial f (1))" ;; 3 ;; "(partial g (1 2))"	L-only[6]: "(f 1)" ;; ((f 1) 2) ;; "(g 1 2)"
eval.metta	INERT-FORM:eval	P-only[1]: (42.7 42)	L-only[1]: (eval (42.7 42))
fibadd.metta	INERT-FORM:fib	P-only[2]: true ;; 832040	L-only[1]: (fib 30)
fibsmartimport.metta	VALUE	P-only[0]: 	L-only[1]: true
foldall.metta	VALUE	P-only[8]: 5 ;; 5 ;; 5	L-only[10]: ((|-> ($x $y) (+ $x $y)) ((|-> ($x $y) (+ $x $y)) 0 2) 3) ;; ((|-> ($x $y) (+ $x $y)) ((|-> ($x $y) (+ $x $y)) 0 2) 3) ;; ((|-> ($x $y) (+ $x $y)) ((|-> ($x $y)
forall.metta	INERT-FORM:and	P-only[10]: false ;; false ;; false	L-only[12]: (and true (< ((|-> (1) 1) $z) 2)) ;; (and true (< ((|-> (2) 2) $z) 2)) ;; (and true ((|-> ($v) (< $v 2)) 2))
functionhead2.metta	VALUE	P-only[1]: (cat42 garfield)	L-only[1]: (cat42 garfield roomba)
functionhead3.metta	INERT-FORM:Empty	P-only[4]: (4) ;; (4 5) ;; (3 4 4 5 5)	L-only[4]: () ;; () ;; ()
functionremoval.metta	VALUE	P-only[3]: (2) ;; (42) ;; ((f g))	L-only[9]: (2 42) ;; (2 42) ;; true
functionremovalspec.metta	INERT-FORM:g	P-only[0]: 	L-only[6]: true ;; true ;; 2
functiontypes.metta	VALUE	P-only[1]: (42 6 (+ 4 2))	L-only[1]: (42 6 6)
