# SPDX-License-Identifier: Apache-2.0
# pinned_petta_revision=6b7f52f064bdbc82fabd0a0998404121fb01d52e
# Every compiler-obligations.tsv FAIL row appears at least once; one obligation
# may have several uniquely keyed fixture scenarios. Outcomes are
# ordered lists after diffbench normalization; normalization can hide a
# presentation-only difference, which makes this gate fail closed by erasing
# a divergence rather than manufacturing one. Recorded error outcomes use
# stable classes, although their extraction necessarily recognizes selected
# native diagnostic text and a wording change therefore turns the gate red.
id	fixture	mode	native_kind	native_expect	pleatta_kind	pleatta_expect	note
PAT.special_only	diffbench/probes/mismatch-pattern-unregistered-special.metta	expected-divergence	ok	[]	ok	["matched"]	unregistered special head is structural only in pinned patterns
APP.unquote_quote	diffbench/probes/mismatch-unquote-without-library.metta	expected-divergence	ok	["(unquote (+ 1 2))"]	ok	["3"]	hardcoded unquote evaluation without lib_he
APP.unquote_other	diffbench/probes/mismatch-unquote-source-definition.metta	expected-divergence	ok	["custom-unquote"]	ok	["(unquote 42)"]	special handler bypasses a source definition
APP.hash_plus	diffbench/probes/mismatch-hash-plus-clpfd.metta	expected-divergence	ok	["3","(Error domain_error)"]	ok	["3","3.5"]	relational case agrees; CLP(FD) integer domain then differs from floating arithmetic
APP.hash_minus	diffbench/probes/mismatch-hash-minus-clpfd.metta	expected-divergence	ok	["5","(Error domain_error)"]	ok	["5","1"]	relational case agrees; CLP(FD) integer domain then differs from floating arithmetic
APP.succeedsPredicate	diffbench/probes/mismatch-succeeds-predicate-general.metta	expected-divergence	ok	["true","true"]	ok	["true"]	general true/0 predicate remains outside the space-only shortcut; after source-faithful case fallback repair the unsupported call has no answer rather than a fabricated False
APP.foldall	diffbench/probes/mismatch-foldall-order.metta	expected-divergence	ok	["true","3","generator"]	ok	["true","3","aggregator"]	equal folded value but different effect order
APP.forall	diffbench/probes/mismatch-forall-streaming.metta	expected-divergence	ok	["true","false","first"]	ok	["true","false","second"]	equal Boolean result but streaming stops before the second effect
APP.superpose_literal	diffbench/probes/characterize-superpose-empty.metta	characterization	error	empty_superpose_rejected	error	empty_superpose_rejected	empty syntactic branch list is rejected after pinned disj_list failure
APP.superpose_general	diffbench/probes/characterize-superpose-build-branch.metta	characterization	ok	["true","initial","true","matched","matched","2","true","true","matched","2","ran"]	ok	["true","initial","true","matched","matched","2","true","true","matched","2","ran"]	equality precedes branch effects and translation-time aliases scope across both the ordered branch list and enclosing scheduling
